Experiment;1;t;x;y;2;t;x;y;3;;;;
;;1029.73937;0.00814;0.0287;;1130.045622;0.131279292;0.075183438;;;;;
;;1033.07186;0.00808;0.0288;;1133.378144;0.131329477;0.075277166;;;;;
;;1036.40435;0.00842;0.0288;;1136.710611;0.131316916;0.075231461;;;;;
;;1039.73684;0.0111;0.0288;;1140.043067;0.131341584;0.075603295;;;;;
;;1043.06933;0.0102;0.0289;;1143.375544;0.130262588;0.075771853;;;;;
;;1046.40182;0.00984;0.0304;;1146.708056;0.130489146;0.075832801;;;;;
;;1049.73431;0.0127;0.0291;;1150.040533;0.130542006;0.075835278;;;;;
;;1053.0668;0.0101;0.0292;;1153.373011;0.130719332;0.075970975;;;;;
;;1056.39929;0.0108;0.0292;;1156.705511;0.130642722;0.075947544;;;;;
;;1059.73178;0.00834;0.0293;;1160.038022;0.130707829;0.075956263;;;;;
;;1063.06427;0.00833;0.0293;;1163.370467;0.130529745;0.076047997;;;;;
;;1066.39676;0.00863;0.0294;;1166.702967;0.130568142;0.076070955;;;;;
;;1069.72925;0.0101;0.0295;;1170.035444;0.130597053;0.076056491;;;;;
;;1073.06174;0.0104;0.0295;;1173.367922;0.129159289;0.076377967;;;;;
;;1076.39423;0.00563;0.0294;;1176.700422;0.129748735;0.076506422;;;;;
;;1079.72672;0.0127;0.0293;;1180.0329;0.127959662;0.076891678;;;;;
;;1083.05921;0.00553;0.0295;;1183.3987;0.129524365;0.076743941;;;;;
;;1086.3917;0.00544;0.0295;;1186.731189;0.130439947;0.076453846;;;;;
;;1089.72419;0.00859;0.0297;;1190.0637;0.130379623;0.076406201;;;;;
;;1093.05668;0.0087;0.0297;;1193.396156;0.126212412;0.076908588;;;;;
;;1096.38917;0.00881;0.0299;;1196.728644;0.126555573;0.076803745;;;;;
;;1099.72166;0.00555;0.0297;;1200.061144;0.126608905;0.07679972;;;;;
;;1103.05415;0.00543;0.0299;;1203.393622;0.126753152;0.076816284;;;;;
;;1106.38664;0.00851;0.03;;1206.726111;0.126701789;0.076710282;;;;;
;;1109.71913;0.0098;0.031;;1210.058611;0.126663448;0.076684956;;;;;
;;1113.05162;0.00964;0.0311;;1213.3911;0.126987417;0.076591383;;;;;
;;1116.38411;0.00238;0.0295;;1216.723567;0.126682835;0.076797526;;;;;
;;1119.7166;0.000831;0.0312;;1220.056056;0.126802224;0.076837284;;;;;
;;1123.04909;0.000847;0.0312;;1223.388522;0.126954222;0.07685292;;;;;
;;1126.38158;0.00631;0.0311;;1226.721256;0.126609303;0.076927491;;;;;
;;1129.71407;0.0042;0.0312;;1230.053511;0.126484661;0.07717251;;;;;
;;1133.04656;0.000405;0.0312;;1233.385989;0.126045419;0.077280657;;;;;
;;1136.37905;0.000947;0.0312;;1236.718478;0.126249747;0.077295399;;;;;
;;1139.71154;0.00033;0.0312;;1240.050956;0.126049843;0.077296918;;;;;
;;1143.04403;0.000709;0.0312;;1243.383456;0.126148283;0.07731733;;;;;
;;1146.37652;0.000245;0.0312;;1246.715933;0.128164945;0.077281894;;;;;
;;1149.70901;0.0041;0.0311;;1250.048422;0.126892157;0.077574355;;;;;
;;1153.0415;0.000479;0.0312;;1253.3809;0.127447644;0.077718919;;;;;
;;1156.37399;0.0061;0.0309;;1256.713389;0.127083927;0.077821017;;;;;
;;1159.70648;0.00631;0.0309;;1260.045956;0.126995102;0.078430004;;;;;
;;1163.03897;0.00643;0.0309;;1263.378367;0.125784326;0.078472893;;;;;
;;1166.37146;0.00632;0.031;;1266.710867;0.125594725;0.078487983;;;;;
;;1169.70395;0.00658;0.031;;1270.043322;0.125329101;0.078589637;;;;;
;;1173.03644;0.00661;0.0311;;1273.375811;0.12505056;0.078689915;;;;;
;;1176.36893;0.00676;0.0311;;1276.708311;0.124897299;0.078812651;;;;;
;;1179.70142;0.00673;0.0311;;1280.040789;0.125042316;0.078824768;;;;;
;;1183.03391;0.00658;0.0311;;1283.373267;0.124920065;0.078925533;;;;;
;;1186.3664;0.00313;0.0307;;1286.705767;0.128172545;0.077508138;;;;;
;;1189.69889;0.00679;0.0311;;1290.038256;0.127692876;0.077595998;;;;;
;;1193.03138;0.00673;0.0311;;1293.370722;0.127672791;0.077589442;;;;;
;;1196.36387;0.00661;0.031;;1296.703222;0.127587698;0.077592753;;;;;
;;1199.69636;0.00651;0.0311;;1300.035756;0.127634608;0.077608665;;;;;
